,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Peak Position,Weeks on Chart
29,Perfect,Ed Sheeran,0.599,0.44799999999999995,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0,1.0,56.0
54,Believer,Imagine Dragons,0.7759999999999999,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,204347.0,4.0,4.0,51.0
43,Thunder,Imagine Dragons,0.605,0.8220000000000001,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.28800000000000003,167.997,187147.0,4.0,4.0,51.0
24,New Rules,Dua Lipa,0.762,0.7,9.0,-6.021,0.0,0.0694,0.0026100000000000003,1.56e-05,0.153,0.608,116.073,209320.0,4.0,6.0,47.0
10,Havana,Camila Cabello,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,217307.0,4.0,1.0,45.0
71,Feel It Still,Portugal. The Man,0.8009999999999999,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0,4.0,4.0,44.0
92,I Like Me Better,Lauv,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,197437.0,4.0,27.0,41.0
14,The Middle,Zedd,0.753,0.657,7.0,-3.0610000000000004,1.0,0.0449,0.171,0.0,0.11199999999999999,0.43700000000000006,107.01,184732.0,4.0,5.0,40.0
6,I Like It,Cardi B,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.37200000000000005,0.65,136.048,253390.0,4.0,1.0,37.0
0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973.0,4.0,1.0,36.0
86,Young Dumb & Broke,Khalid,0.7979999999999999,0.539,1.0,-6.351,1.0,0.0421,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998,202547.0,4.0,18.0,35.0
5,Better Now,Post Malone,0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,231267.0,4.0,3.0,34.0
22,Mine,Bazzi,0.71,0.789,4.0,-3.8739999999999997,1.0,0.0722,0.0161,2.77e-06,0.451,0.7170000000000001,142.929,131064.0,4.0,11.0,34.0
11,Lucid Dreams,Juice WRLD,0.511,0.5660000000000001,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,239836.0,4.0,2.0,32.0
32,I Fall Apart,Post Malone,0.556,0.5379999999999999,8.0,-5.4079999999999995,0.0,0.0382,0.0689,0.0,0.196,0.29100000000000004,143.95,223347.0,4.0,16.0,29.0
91,Yes Indeed,Lil Baby,0.9640000000000001,0.34600000000000003,5.0,-9.309,0.0,0.53,0.035,0.0,0.10800000000000001,0.562,119.958,142273.0,4.0,6.0,29.0
23,Youngblood,5 Seconds of Summer,0.596,0.8540000000000001,7.0,-5.114,0.0,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,203418.0,4.0,7.0,29.0
48,Let You Down,NF,0.6559999999999999,0.721,5.0,-5.665,0.0,0.122,0.298,0.0,0.17300000000000001,0.46799999999999997,148.066,212120.0,4.0,12.0,27.0
12,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.11900000000000001,0.757,93.39399999999999,210747.0,4.0,1.0,25.0
63,In My Blood,Shawn Mendes,0.622,0.7120000000000001,5.0,-7.321000000000001,1.0,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,211360.0,4.0,11.0,23.0
8,IDGAF,Dua Lipa,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217947.0,4.0,49.0,23.0
