id,Artist,Song Title,energy,key,tempo,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,Peak Position,Weeks on Chart,PEAK,energy,key,tempo,danceability,loudness,mode
7fa9MBXhVfQ8P8Df9OEbD,Maroon 5,Girls Like You,0.541,0,124.959,0.851,-6.825,1,0.0505,0.568,0,0.13,0.448,235545,4,1,52,,0.242997619,-0.118837002,0.021843769,-0.043140351,0.134905636,-0.128538988
6DCZcSspjsKoFjzjrWoCd,Drake,God's Plan,0.449,7,77.169,0.754,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,198973,4,1,36,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature
1rfofaqEpACxVEHIZBJe6,Camila Cabello,Havana,0.523,2,104.988,0.765,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,217307,4,1,45,-0.147617556,-0.034010026,-0.094035001,0.047259791,0.15066147,-0.072820596,0.093589246
58q2HKrzhC3ozto2nDdN4,Cardi B,I Like It,0.726,5,136.048,0.816,-3.998,0,0.129,0.099,0,0.372,0.65,253390,4,1,51,,,,,,,
2G7V7zsVDxg1yRsu7Ew9R,Drake,In My Feelings,0.626,1,91.03,0.835,-5.833,1,0.125,0.0589,6.00E-05,0.396,0.35,217925,4,1,22,,,,,,,
3CA9pLiwRIGtUBiMjbZmR,Drake,Nice For What,0.909,8,93.394,0.586,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,210747,4,1,25,,,,,,,
0tgVpDi06FyKpA1z0VMD4,Ed Sheeran,Perfect,0.448,8,95.05,0.599,-6.312,1,0.0232,0.163,0,0.106,0.168,263400,3,1,56,,,,,,,
1bhUWB0zJMIKr9yVPrkEu,Ed Sheeran,Perfect Duet,0.299,8,94.992,0.587,-7.365,1,0.0263,0.779,0,0.123,0.356,259550,3,1,56,,,,,,,
3swc6WTsr7rl9DqQKQA55,Post Malone,Psycho,0.559,8,140.124,0.739,-8.011,1,0.117,0.58,0,0.112,0.439,221440,4,1,39,WEEKS,energy,key,tempo,danceability,loudness,mode
0e7ipj03S05BNilyu5bRz,Post Malone,rockstar,0.535,5,159.847,0.587,-6.09,0,0.0898,0.117,6.56E-05,0.131,0.14,218147,4,1,40,,-0.206133083,0.113443161,-0.045336711,-0.022611832,-0.041535446,0.063951128
